Kalman: No, Frame: 21, Points: [[-3, -22, -221], [17, -22, -221], [-3, -2, -221], [17, -2, -221], [-3, -22, -201], [17, -22, -201], [-3, -2, -201], [17, -2, -201]]
Kalman: Yes, Frame: 22, Points: [[-2, -22, -223], [18, -22, -223], [-2, -2, -223], [18, -2, -223], [-2, -22, -203], [18, -22, -203], [-2, -2, -203], [18, -2, -203]]
Kalman: No, Frame: 22, Points: [[-3, -22, -229], [17, -22, -229], [-3, -2, -229], [17, -2, -229], [-3, -22, -209], [17, -22, -209], [-3, -2, -209], [17, -2, -209]]
Kalman: Yes, Frame: 23, Points: [[-2, -22, -223], [18, -22, -223], [-2, -2, -223], [18, -2, -223], [-2, -22, -203], [18, -22, -203], [-2, -2, -203], [18, -2, -203]]
Kalman: No, Frame: 23, Points: [[-3, -22, -218], [17, -22, -218], [-3, -2, -218], [17, -2, -218], [-3, -22, -198], [17, -22, -198], [-3, -2, -198], [17, -2, -198]]
Kalman: Yes, Frame: 24, Points: [[-1, -22, -224], [19, -22, -224], [-1, -2, -224], [19, -2, -224], [-1, -22, -204], [19, -22, -204], [-1, -2, -204], [19, -2, -204]]
Kalman: No, Frame: 24, Points: [[-3, -22, -225], [17, -22, -225], [-3, -2, -225], [17, -2, -225], [-3, -22, -205], [17, -22, -205], [-3, -2, -205], [17, -2, -205]]
Kalman: Yes, Frame: 25, Points: [[-1, -22, -231], [19, -22, -231], [-1, -2, -231], [19, -2, -231], [-1, -22, -211], [19, -22, -211], [-1, -2, -211], [19, -2, -211]]
Kalman: No, Frame: 25, Points: [[-2, -24, -265], [18, -24, -265], [-2, -4, -265], [18, -4, -265], [-2, -24, -245], [18, -24, -245], [-2, -4, -245], [18, -4, -245]]
Kalman: Yes, Frame: 26, Points: [[-1, -22, -232], [19, -22, -232], [-1, -2, -232], [19, -2, -232], [-1, -22, -212], [19, -22, -212], [-1, -2, -212], [19, -2, -212]]
Kalman: No, Frame: 26, Points: [[-3, -22, -229], [17, -22, -229], [-3, -2, -229], [17, -2, -229], [-3, -22, -209], [17, -22, -209], [-3, -2, -209], [17, -2, -209]]
Kalman: Yes, Frame: 27, Points: [[-1, -22, -231], [19, -22, -231], [-1, -2, -231], [19, -2, -231], [-1, -22, -211], [19, -22, -211], [-1, -2, -211], [19, -2, -211]]
Kalman: No, Frame: 27, Points: [[-4, -22, -223], [16, -22, -223], [-4, -2, -223], [16, -2, -223], [-4, -22, -203], [16, -22, -203], [-4, -2, -203], [16, -2, -203]]
Kalman: Yes, Frame: 28, Points: [[-1, -22, -230], [19, -22, -230], [-1, -2, -230], [19, -2, -230], [-1, -22, -210], [19, -22, -210], [-1, -2, -210], [19, -2, -210]]
Kalman: No, Frame: 28, Points: [[-5, -21, -220], [15, -21, -220], [-5, -1, -220], [15, -1, -220], [-5, -21, -200], [15, -21, -200], [-5, -1, -200], [15, -1, -200]]
Kalman: Yes, Frame: 29, Points: [[-1, -22, -229], [19, -22, -229], [-1, -2, -229], [19, -2, -229], [-1, -22, -209], [19, -22, -209], [-1, -2, -209], [19, -2, -209]]
Kalman: No, Frame: 29, Points: [[-5, -20, -220], [15, -20, -220], [-5, 0, -220], [15, 0, -220], [-5, -20, -200], [15, -20, -200], [-5, 0, -200], [15, 0, -200]]
